room,address,building,capacity,tech,type,building_acronym,rating ,address,is_booked,roomid
S220,", Amherst, MA 01003 ",Integ. Learning Center S220,99,ECHO,TBL,ILC,3,,FALSE,137
S231,", Amherst, MA 01003 ",Integ. Learning Center S231,60,ECHO,TBLITE,ILC,4,,FALSE,138
S240,", Amherst, MA 01003 ",Integ. Learning Center S240,125,ECHO,,ILC,5,,FALSE,139
S311,", Amherst, MA 01003 ",Integ. Learning Center S311,81,ECHO,TBL,ILC,3,,FALSE,140
S331,", Amherst, MA 01003 ",Integ. Learning Center S331,150,ECHO,AUD,ILC,4,,FALSE,141
135,", Amherst, MA 01003 ",Integrated Sciences Bldg 135,300,ECHO,AUD,ISB,5,,FALSE,142
221,", Amherst, MA 01003 ",Integrated Sciences Bldg 221,85,ECHO,,ISB,3,,FALSE,143
329,", Amherst, MA 01003 ",Integrated Sciences Bldg 329,48,,,ISB,4,,FALSE,144
A201,", Amherst, MA 01003 ",Lederle Grad Res. Ctr rm A201,42,,,LGRC,5,,FALSE,145
A203,", Amherst, MA 01003 ",Lederle Grad Res Ctr rm A203,38,ECHO,,LGRC,3,,FALSE,146
A301,", Amherst, MA 01003 ",Lederle Grad Res Ctr rm A301,66,ECHO/HK,,LGRC,4,,FALSE,147
1114,", Amherst, MA 01003 ",Lederle Grad Res Tower Room 1114,18,,,LGRT,5,,FALSE,148
121,", Amherst, MA 01003 ",Lederle Grad Res Tower Room  121,72,ECHO/HK,,LGRT,3,,FALSE,149
123,", Amherst, MA 01003 ",Lederle Grad Res Tower Room  123,77,ECHO/HK,,LGRT,4,,FALSE,150
1234,", Amherst, MA 01003 ",Lederle Grad Res Tower Room  1234,21,,,LGRT,5,,FALSE,151
1322,", Amherst, MA 01003 ",Lederle Grad Res Tower Room  1322,18,,,LGRT,1,,FALSE,152
1334,", Amherst, MA 01003 ",Lederle Grad Res Tower Room  1334,21,,,LGRT,2,,FALSE,153
141,", Amherst, MA 01003 ",Lederle Grad Res Tower Room  141,35,,,LGRT,5,,FALSE,154
143,", Amherst, MA 01003 ",Lederle Grad Res Tower Room 143,33,,,LGRT,3,,FALSE,155
145,", Amherst, MA 01003 ",Lederle Grad Res Tower Room 145,33,,,LGRT,2,,FALSE,156
147,", Amherst, MA 01003 ",Lederle Grad Res Tower Room  147,31,,,LGRT,1,,FALSE,157
171,", Amherst, MA 01003 ",Lederle Grad Res Tower Room  171,34,,,LGRT,4,,FALSE,158
173,", Amherst, MA 01003 ",Lederle Grad Res Tower Room  173,34,ECHO,,LGRT,5,,FALSE,159
177,", Amherst, MA 01003 ",Lederle Grad Res Tower Room  177,33,ECHO,,LGRT,3,,FALSE,160
202,", Amherst, MA 01003 ",Lederle Grad Res Tower Room  202,36,ECHO,,LGRT,4,,FALSE,161
204,", Amherst, MA 01003 ",Lederle Grad Res Tower Room  204,36,ECHO,,LGRT,2,,FALSE,162
206,", Amherst, MA 01003 ",Lederle Grad Res Tower Room 206,34,,,LGRT,1,,FALSE,163
413,", Amherst, MA 01003 ",Machmer Hall Room 413,16,,,MACH,5,,FALSE,164
E-10,", Amherst, MA 01003 ",Machmer Hall Room E-10,35,,,MACH,3,,FALSE,165
E-33,", Amherst, MA 01003 ",Machmer Hall Room E-33,36,,,MACH,2,,FALSE,166
E-35,", Amherst, MA 01003 ",Machmer Hall Room E-35,43,,,MACH,4,,FALSE,167
E-37,", Amherst, MA 01003 ",Machmer Hall Room E-37,53,,,MACH,1,,FALSE,168
W-11,", Amherst, MA 01003 ",Machmer Hall Room W-11,34,,,MACH,5,,FALSE,169
W-15,", Amherst, MA 01003 ",Machmer Hall Room W-15,42,,,MACH,3,,FALSE,170
W-21,", Amherst, MA 01003 ",Machmer Hall Room W-21,34,,,MACH,2,,FALSE,171
W-22,", Amherst, MA 01003 ",Machmer Hall Room W-22,36,,,MACH,3,,FALSE,172
W-23,", Amherst, MA 01003 ",Machmer Hall Room W-23,42,,,MACH,4,,FALSE,173
W-24,", Amherst, MA 01003 ",Machmer Hall Room W-24,42,,,MACH,5,,FALSE,174
W-25,", Amherst, MA 01003 ",Machmer Hall Room W-25,42,,,MACH,1,,FALSE,175
W-26,", Amherst, MA 01003 ",Machmer Hall Room W-26,52,,,MACH,2,,FALSE,176
W-27,", Amherst, MA 01003 ",Machmer Hall Room W-27,37,,,MACH,3,,FALSE,177
108,", Amherst, MA 01003 ",Mahar Room 108,469,ECHO/HK,AUD,MAH,4,,FALSE,178
131,", Amherst, MA 01003 ",Marcus Hall Room 131,325,ECHO,AUD,MARC,5,,FALSE,179
326,", Amherst, MA 01003 ",Morrill Sci. Ctr.1 Room N326,70,ECHO,,MOR1,3,,FALSE,180
444,", Amherst, MA 01003 ",Morrill I Room 444,24,,,MOR1,2,,FALSE,181
N336,", Amherst, MA 01003 ",Morrill Sci. Ctr. I Room  N336,20,,,MOR1,3,,FALSE,182
N338,", Amherst, MA 01003 ",Morrill Sci. Ctr. I Room  N338,17,,,MOR1,1,,FALSE,183
N345,", Amherst, MA 01003 ",Morrill Sc Ctr 1 Room N345,30,ECHO,,MOR1,5,,FALSE,184
N347,", Amherst, MA 01003 ",Morrill Sci Ctr 1 Room  N 347,32,,,MOR1,3,,FALSE,185
N349,", Amherst, MA 01003 ",Morrill Sci Ctr I  Room N349,22,,,MOR1,2,,FALSE,186
N375,", Amherst, MA 01003 ",Morrill Sci Ctr 1  Room N375,235,ECHO/HK,AUD,MOR1,4,,FALSE,187
131,", Amherst, MA 01003 ",Morrill Sci. Ctr. II Room  131,208,ECHO/HK,AUD,MOR2,1,,FALSE,188
222,", Amherst, MA 01003 ",Morrill Sci Ctr II  Room 222,92,HK,,MOR2,5,,FALSE,189
319,", Amherst, MA 01003 ",Morrill Sci Ctr II Room 319,50,,,MOR2,3,,FALSE,190
203,", Amherst, MA 01003 ",Morrill Sci. Ctr. III Room 203,63,,,MOR3,2,,FALSE,191
317,", Amherst, MA 01003 ",Morrill Sci. Ctr. III Room 317,28,,,MOR3,3,,FALSE,192
132,", Amherst, MA 01003 ",Marston Hall Room 132,80,HK,,MRST,4,,FALSE,193
15,", Amherst, MA 01003 ",Marston Hall Room 15,31,,,MRST,5,,FALSE,194
211,", Amherst, MA 01003 ",Marston Hall Room 211,50,ECHO,,MRST,1,,FALSE,195
220,", Amherst, MA 01003 ",Marston Hall Room 220,44,ECHO,,MRST,2,,FALSE,196
21,", Amherst, MA 01003 ",New Africa House Room 21,40,,,NAH,3,,FALSE,197
26,", Amherst, MA 01003 ",New Africa House Room 26,20,,,NAH,4,,FALSE,198
311,", Amherst, MA 01003 ",New Africa House Room 311,45,,,NAH,5,,FALSE,199
401,", Amherst, MA 01003 ",New Africa House Room 401,20,,,NAH,3,,FALSE,200
E241,", Amherst, MA 01003 ",South College Room E241,40,ECHO,,SC,4,,FALSE,201
E245,", Amherst, MA 01003 ",South College Room E245,40,ECHO,,SC,3,,FALSE,202
E470,", Amherst, MA 01003 ",South College Room E470,55,ECHO,,SC,5,,FALSE,203
E480,", Amherst, MA 01003 ",South College Room E480,30,ECHO,,SC,5,,FALSE,204
W101,", Amherst, MA 01003 ",South College Room W101,36,ECHO,,SC,3,,FALSE,205
W201,", Amherst, MA 01003 ",South College Room W201,36,ECHO,,SC,4,,FALSE,206
W205,", Amherst, MA 01003 ",South College Room W205,30,ECHO,,SC,5,,FALSE,207
W211,", Amherst, MA 01003 ",South College Room W211,30,ECHO,,SC,4,,FALSE,208
W219,", Amherst, MA 01003 ",South College Room W219,30,ECHO,,SC,3,,FALSE,209
W245,", Amherst, MA 01003 ",South College Room W245,106,ECHO,,SC,5,,FALSE,210
106,", Amherst, MA 01003 ",Skinner Room 106,36,,,SKIN,3,,FALSE,211
112,", Amherst, MA 01003 ",Skinner Room 112,90,ECHO/HK,,SKIN,2,,FALSE,212
12,", Amherst, MA 01003 ",Skinner Room 12,72,ECHO/HK,,SKIN,1,,FALSE,213
201,", Amherst, MA 01003 ",Skinner Room 201,52,,,SKIN,3,,FALSE,214
117,", Amherst, MA 01003 ",Isenberg School of Management 117,36,,,SOM,4,,FALSE,215
118,", Amherst, MA 01003 ",Isenberg School of Management 118,44,,,SOM,5,,FALSE,216
119,", Amherst, MA 01003 ",Isenberg School of Management 119,46,,,SOM,3,,FALSE,217
120,", Amherst, MA 01003 ",Isenberg School of Management 120,25,,,SOM,4,,FALSE,218
122,", Amherst, MA 01003 ",Isenberg School of Management 122,34,,,SOM,5,,FALSE,219
123,", Amherst, MA 01003 ",Isenberg School of Management 123,35,,,SOM,3,,FALSE,220
124,", Amherst, MA 01003 ",Isenberg School of Management 124,44,,,SOM,4,,FALSE,221
125,", Amherst, MA 01003 ",Isenberg School of Management 125,34,,,SOM,5,,FALSE,222
126,", Amherst, MA 01003 ",Isenberg School of Management 126,44,,,SOM,3,,FALSE,223
127,", Amherst, MA 01003 ",Isenberg School of Management 127,44,,,SOM,4,,FALSE,224
129,", Amherst, MA 01003 ",Isenberg School of Management 129,35,,,SOM,5,,FALSE,225
137,", Amherst, MA 01003 ",Isenberg School of Management 137,220,ECHO/HK,AUD,SOM,3,,FALSE,226
G26,", Amherst, MA 01003 ",Isenberg School of Management G26,42,,,SOM,4,,FALSE,227
G31,", Amherst, MA 01003 ",Isenberg School of Management G31,32,,,SOM,5,,FALSE,228
G35,", Amherst, MA 01003 ",Isenberg School of Management G35,31,,,SOM,3,,FALSE,229
N390,", Amherst, MA 01003 ",Isenberg School of Management N390,0,,,SOM,4,,FALSE,230
124,", Amherst, MA 01003 ",Stockbridge Hall Room 124,49,,,STK,5,,FALSE,231
301,", Amherst, MA 01003 ",Stockbridge Hall Room 301,46,ECHO,,STK,3,,FALSE,232
102,", Amherst, MA 01003 ",Thompson Hall Room 102,229,ECHO/HK,AUD,THOM,4,,FALSE,233
104,", Amherst, MA 01003 ",Thompson Hall Room 104,301,ECHO/HK,AUD,THOM,5,,FALSE,234
106,", Amherst, MA 01003 ",Thompson Hall Room 106,229,ECHO/HK,AUD,THOM,1,,FALSE,235
204,", Amherst, MA 01003 ",Tobin Hall Room 204,64,ECHO,,TOBN,4,,FALSE,236
304,", Amherst, MA 01003 ",Tobin Hall Room 304,68,ECHO,,TOBN,3,,FALSE,237
307,", Amherst, MA 01003 ",Tobin Hall Room 307,38,,,TOBN,2,,FALSE,238
504,", Amherst, MA 01003 ",Tobin Hall Room 504,16,,,TOBN,5,,FALSE,239
520,", Amherst, MA 01003 ",Tobin Hall Room 520,30,ECHO,,TOBN,3,,FALSE,240
153,", Amherst, MA 01003 ",Totman Phys. Ed. Bldg. Room 153,50,ECHO,,TOTM,2,,FALSE,241
156,", Amherst, MA 01003 ",Totman Phys. Ed. Bldg. Room 156,35,ECHO,,TOTM,1,,FALSE,242
